O/E/A,Title (EN),Bezeichnung (deutsch),Beschreibung (falls nicht aus externer Ontologie entnommen)/Definition,Grund-/Fachbuch,Attribute,Relationen,UUID,key,anwendbar auf
Entität,QuantityFourth,ein Viertel,25 Prozent einer Einheit,Fachbuch,,[QuantityFourth] <is a> [Quantity],stc://media-0-4/QuantityFourth,entity.stc://media-0-4/QuantityFourth,
Entität,QuantityFifth,ein Fünftel,20 Prozent einer Einheit,Fachbuch,,[QuantityFifth] <is a> [Quantity],stc://media-0-4/QuantityFifth,entity.stc://media-0-4/QuantityFifth,
Entität,QuantityMajority,eine Mehrheit,"Mehrheit bezeichnet die überwiegende Anzahl aus einer Gesamtanzahl von Personen, Meinungen oder Sachen (Gegenteil von Minderheit).",Fachbuch,,[QuantityMajority] <is a> [Quantity],stc://media-0-4/QuantityMajority,entity.stc://media-0-4/QuantityMajority,
Entität,QuantityMinority,eine Minderheit,"Eine Minderheit ist ein numerisch geringerer Teil einer Gesamtheit, der sich durch personale oder kulturelle Merkmale von der Mehrheit unterscheidet.",Fachbuch,,[QuantityMinority] <is a> [Quantity],stc://media-0-4/QuantityMinority,entity.stc://media-0-4/QuantityMinority,
Entität,QuantityNarrowMajority,eine knappe Mehrheit,,Fachbuch,,[QuantityNarrowMajority] <is a> [Quantity],stc://media-0-4/QuantityNarrowMajority,entity.stc://media-0-4/QuantityNarrowMajority,
,,,,,,,,,
,Zeitangaben,,,,,,,,
Entität,TimeLastNight,Vergangene Nacht,Ein Ereignis wird in der vergangenen Nacht verortet.,Fachbuch,,[TimeLastNight] <is a> [Temporal Context],stc://media-0-4/TimeLastNight,entity.stc://media-0-4/TimeLastNight,
Entität,TimeLastDay,Gestern,Ein Ereignis wird dem vergangenen Tag zugeordnet.,Fachbuch,,[TimeLastDay] <is a> [Temporal Context],stc://media-0-4/TimeLastDay,entity.stc://media-0-4/TimeLastDay,
Entität,for weeks,wochenlang,"viele Wochen andauernd, anhaltend",Fachbuch,,,stc://media-0-4/ForWeeks,entity.stc://media-0-4/ForWeeks,
Entität,daily,täglich,"jeden Tag (vor sich gehend, wiederkehrend)",Fachbuch,,,stc://media-0-4/daily,entity.stc://media-0-4/daily,
Entität,within the last few weeks,innerhalb der letzten Wochen,im Zeitraum der vergangenen zwei oder mehr Wochen,Fachbuch,,,stc://media-0-4/WithinTheLastFewWeeks,entity.stc://media-0-4/WithinTheLastFewWeeks,
Entität,today,heute,am heutigen Tag,Fachbuch,,,stc://media-0-4/today,entity.stc://media-0-4/today,
Entität,past,Vergangenheit,In der Vergangenheit liegend (zurückliegend),Fachbuch,,,stc://media-0-4/past,entity.stc://media-0-4/past,
Entität,future,Zukunft,"Zeit, die noch bevorsteht, die noch nicht da ist; die erst kommende oder künftige Zeit (und das in ihr zu Erwartende)",Fachbuch,,,stc://media-0-4/future,entity.stc://media-0-4/future,
Entität,currently,aktuell,"gegenwärtig vorhanden, bedeutsam für die unmittelbare Gegenwart; gegenwartsbezogen, -nah, zeitnah, zeitgemäß",Fachbuch,,,stc://media-0-4/currently,entity.stc://media-0-4/currently,
,,,,,,,,,
,Sonstige allgemeine Begriffe,,,,,,,,
Entität,internal dispute,interner Streit,"Eine Gruppe von Personen ist sich in einer oder mehreren Entscheidungen uneinig und dies wird als ""Streit"" bezeichnet.",Fachbuch,entity:schema,,stc://media-0-4/internal_dispute,entity.stc://media-0-4/internal_dispute,
Entität,pending decision,ausstehende Entscheidung,"Eine politische Entscheidung, welche diesem Schema folgt, ist aktuell noch nicht entschieden (z.B. fand noch keine Abstimmung statt, welche die offene Entscheidung in eine getroffene Entscheidung überführt hätte), es wird noch darüber verhandelt oder die Abstimmungsberechtigten werden noch umworben.",Fachbuch,entity:schema,,stc://media-0-4/pending_decision,entity.stc://media-0-4/pending_decision,
Entität,SchemePendingDecision,Schema: ausstehende Entscheidung,,Fachbuch,,[SchemePendingDecision] <is a> [Scheme],stc://media-0-4/SchemePendingDecision,entity.stc://media-0-4/SchemePendingDecision,
Entität,ActivityPolitical,Politische Aktivität,"Eine Handlung (i.d.R. symbolisch oder kommunikation), welche durch einen Akteur im Kontext von Politik ausgeführt wird.",Fachbuch,entity:abstract,[ActivityPolitical] <is a> [Activity],stc://media-0-4/ActivityPolitical,entity.stc://media-0-4/ActivityPolitical,
